S.N,Easting,Northing,Elevation
1,326385.88,3055777.99,1977
2,326221.89,3055557.38,2118
3,326160.88,3055482.13,2055
4,326125.92,3055436.62,2055
5,326111.13,3055419.51,2055
6,326090.05,3055393.79,2055
7,326055.95,3055357.78,2123
8,326039.56,3055350.14,2123
9,325999.92,3055331.67,2123
10,325955.61,3055307.94,2123
11,325902.17,3055271.63,2049
12,325804.66,3055173.15,1974
13,325776.91,3055143.99,1974
14,325713.66,3055061.86,1974
15,325569.73,3054630.95,1801
16,325567.85,3054540.37,1783
17,325609.52,3054451.18,1783
18,325634.21,3054225.32,1788
19,325637.37,3054133.3,1790
20,325610.51,3053975.84,1790
21,325592.57,3053878.21,1797
22,325575.78,3053703.89,1797
23,325572.98,3053683.75,1797
24,325584.87,3053617.27,1753
25,325618.32,3053548.58,1753
26,325711.54,3053438.08,1778
27,325820.47,3053360.13,1778
28,325961.33,3053277.64,1814
29,326143.08,3053189,1988
30,326216.96,3053152.06,1988
31,326270.28,3053120.99,1980
32,326300.21,3053089.65,1980
33,326315.82,3053063.75,1980
34,326331.56,3053037.72,1980
35,326352.59,3053008.5,1980
36,326363.88,3053007.09,1980
37,326401.74,3053002.42,1980
38,326454.65,3053009.75,1907
39,326470.64,3053015.6,1907
40,326530.66,3053024.91,1907
41,326595.15,3053034.09,1907
42,326643.44,3053037.2,1907
43,326675.97,3053045.34,1890
44,326816.88,3053081.76,1890
45,326856.92,3053122.72,1890
46,326983.52,3053359.48,1847
47,327046.61,3053562.81,1906
48,327076.06,3053650.68,1906
49,327085.92,3053669.9,1825
50,327094.16,3053710.69,1825
51,327126.16,3053817.84,1825
52,327163.35,3054000.34,1727
53,327167.26,3054036.03,1727
54,327181.94,3054096.32,1727
55,327240.11,3054289.79,1646
56,327245.65,3054305.59,1646
57,327248.13,3054341.11,1646
58,327255.15,3054420.95,1681
59,327267.32,3054523.22,1681
60,327263.97,3055064.99,1716
61,327235.56,3055185.17,1716
62,327206.44,3055257.24,1716
63,327150.78,3055374.46,1707
64,327132.55,3055414.78,1707
65,327071.51,3055520.23,1816
66,327059.54,3055533.89,1816
67,327022.1,3055553.1,1816
68,326952.28,3055592.27,1816
69,326907.93,3055620.86,1816
70,326882.66,3055620.59,1903
71,326857.55,3055620.31,1903
72,326827.88,3055618.29,1903
73,326767.78,3055620.23,1903
74,326730.92,3055603.72,1903
75,326706.49,3055588.2,1903
76,326695.79,3055577.8,1903
77,326670.92,3055517.39,1844
78,326662.27,3055362.71,1870
79,326658.62,3055313.1,1870
80,326658.61,3055267.63,1818
81,326692.34,3055190.53,1756
82,326756.77,3055109.28,1756
83,326798.71,3055039.53,1756
84,326806.88,3055035.44,1756
85,326851.92,3055008.89,1756
86,326882.32,3054959.25,1756
87,326915.9,3054898.44,1711
88,326966.01,3054778.77,1677
89,326986.14,3054707.68,1677
90,327014.22,3054630.85,1677
91,327086.37,3054515.07,1684
92,327105.63,3054487.9,1681
93,327120.06,3054268.54,1646
94,327099.6,3054057.77,1727
95,327057.66,3053838.91,1830
96,327050.61,3053809.62,1830
97,327040.96,3053754.69,1830
98,327022.41,3053692.88,1830
99,327015.82,3053668.19,1830
100,326976.57,3053556.68,1906
101,326948.38,3053470.7,1906
102,326921.97,3053401.33,1847
103,326904.16,3053338.73,1847
104,326895.7,3053288.31,1847
105,326887.33,3053238.48,1847
106,326881.95,3053223.16,1847
107,326874.14,3053180.55,1853
108,326871.01,3053145.36,1853
109,326856.92,3053122.72,1890
110,326845.92,3053091.08,1890
111,326826.54,3053056.21,1890
112,326803.85,3053029.77,1890
113,326763.69,3052989.07,1890
114,326735.93,3052957.49,1828
115,326694.13,3052941.86,1828
116,326661.66,3052931.11,1828
117,326637.38,3052919.59,1879
118,326597.67,3052913.38,1879
119,326586.04,3052914.9,1879
120,326562.97,3052921.53,1879
121,326532.23,3052932.57,1879
122,326506.55,3052951.45,1879
123,326151.82,3053151.04,1988
124,326109.97,3053164.91,1988
125,326030,3053210.66,1814
126,325987.32,3053248.48,1814
127,325952.43,3053297.88,1814
128,325943.41,3053314.27,1814
129,325880.47,3053419.91,1814
130,325825.32,3053526.2,1744
131,325797.59,3053602.47,1744
132,325759.73,3053709.21,1764
133,325721.2,3053802.62,1764
134,325714.59,3053819.6,1764
135,325689.63,3053862.81,1764
136,325685.48,3053908.36,1825
137,325696.59,3053992.4,1825
138,325703.45,3054055.18,1825
139,325712.94,3054143.16,1801
140,325746.01,3054217.82,1801
141,325772.43,3054295.8,1801
142,325800.52,3054330.99,1801
143,325833.03,3054343.49,1801
144,325861.64,3054338.32,1858
145,325912.8,3054293.21,1858
146,325966.17,3054210.05,1858
147,325992.3,3054080.62,1807
148,326007.83,3053966.14,1807
149,326015.18,3053925.04,1807
150,326010.02,3053814.19,1783
151,326009.78,3053880.79,1783
152,326009.1,3054006.19,1807
153,326002.01,3054091.82,1807
154,326001.76,3054163.03,1858
155,326252.87,3053731.06,1836
156,326246.87,3053691.84,1836
157,326245.89,3053683.88,1836
158,326038.44,3053984.09,1807
159,326048.86,3054007.87,1807
160,326102.74,3054107.81,1823
161,326128.53,3054172.58,1870
162,326141.06,3054216.06,1870
163,326157.78,3054232,1870
164,326262.84,3054215.91,1847
165,326266.3,3054193.92,1847
166,326294.92,3054052.71,1868
167,326288.24,3053988.6,1868
168,326294.81,3053928.37,1868
169,326298.8,3053880.85,1901
170,326302.89,3053810.67,1901
171,326297.19,3053767.58,1901
172,326296.7,3053763.64,1901
173,326240.98,3054886.69,2047
174,326213.57,3054886.36,2047
175,326190.85,3054884.71,2047
176,326183.06,3054854.33,2047
177,326179.85,3054832.05,2047
178,326192.86,3054813.43,1930
179,326208.43,3054813.7,1930
180,326215.04,3054837.07,2047
181,326220.9,3054852.35,2047
182,326228.8,3054882.63,2047
183,326236.66,3054882.67,2047
